id;name;ean;limpia
1;CALIERCORTIN 4mg/ml- 50ml iny;8422320327704.0;CALIERCORTIN 
12;ADTAB GATO 12mg 0,5-2kg 1cp;5420036974352.0;ADTAB GATO 
23;ADTAB GATO 48mg 2-8kg 1cp;5420036974369.0;ADTAB GATO 
34;NICILAN 200/50 120cp;8437002582937.0;NICILAN 
45;FORTEKOR SABOR 2,5mg- 28cp;5703188222596.0;FORTEKOR SABOR 
56;CONOFITE 20ml;5703188222589.0;CONOFITE 
67;OTOCLEAN LIMPIADOR- OTOLOGICO 18x5ml;5703188222602.0;OTOCLEAN LIMPIADOR- OTOLOGICO 
78;OXISPEED 60cp;8713184013903.0;OXISPEED 
89;OTINET 125ml;3661103002123.0;OTINET 
100;IRC-VET 60cp;5701170313291.0;IRC-VET 
111;PAÑO BUSTER POLIETILENO- 90x120cm;5701170440836.0;PAÑO BUSTER POLIETILENO- 
122;PAÑO BUSTER POLIETILENO- 60x90cm;8410357308629.0;PAÑO BUSTER POLIETILENO- 
133;PAÑO BUSTER POLIETILENO- 120x120cm;8713184000651.0;PAÑO BUSTER POLIETILENO- 
144;CANINSULIN 10x2,50ml-;8713184000484.0;CANINSULIN 
155;GLUCANTIME 5x5ml;8436529621297.0;GLUCANTIME 
166;LUBRITHAL 10gr;8436025707150.0;LUBRITHAL 
177;CLEAN AURAL CANINO 100ml;;CLEAN AURAL CANINO 
188;T-61 50ml iny;;T-
199;SCALIBOR GDE 65cm;;SCALIBOR GDE 
210;SCALIBOR PEQ 48cm;;SCALIBOR PEQ 
221;DEXABIOPEN 100ml;4022495250827.0;DEXABIOPEN 
232;DEPO-MODERIN 5ml;4022495787521.0;DEPO-MODERIN 
243;CONTENEDOR PARA- MUESTRAS 150ml;4030539122641.0;CONTENEDOR PARA- MUESTRAS 
254;AGUJA STERICAN AMARILLA-20G 0,9X25mm100u;4049500976268.0;AGUJA STERICAN AMARILLA-
265;AGUJA STERICAN AZUL 23G- 0,6x25mm 100un;4052199515274.0;AGUJA STERICAN AZUL 
276;AGUJA STERICAN NARANJA-25G 0,5x16mm100un;8414042003790.0;AGUJA STERICAN NARANJA-
287;JERINGA INJEKT 2CUERPOS- S/A 2ml 100un;8437002582739.0;JERINGA INJEKT 
298;DISCOFIX C/ALARGADERA- 75cm;8713184101877.0;DISCOFIX C/ALARGADERA- 
309;PROPOFOL LIPURO 1%- BRAUN VET 50ml;5701170421316.0;PROPOFOL LIPURO 
320;ESPARADRAPO OMNIPLAST- CARNE 5cmx5m;;ESPARADRAPO OMNIPLAST- CARNE 
331;VENDA ELASTICA LASTOTEL- 6cmx4m;5600788469126.0;VENDA ELASTICA LASTOTEL- 
342;VETREGUL GEL 50ml;3411112971145.0;VETREGUL GEL 
353;HYALORAL RZ GDES Y- GIGAN 120cp;8414042003936.0;HYALORAL RZ GDES Y- GIGAN 
364;LEVENTA 30ml;8436020788260.0;LEVENTA 
375;VETORYL 10mg 30caps;8414042003882.0;VETORYL 
386;SEDIN 10ml;8414042003851.0;SEDIN 
397;OMNIMATRIX 20gr;8414042003868.0;OMNIMATRIX 
408;MELOXIDYL GATO 15ml;4028691555995.0;MELOXIDYL GATO 
419;DAFORTE 20ml;8713184131171.0;DAFORTE 
430;ANIMA STRATH TOMILLO- 100ml;8713184131188.0;ANIMA STRATH TOMILLO- 
441;HYALORAL RZ GDES Y- GIGAN 360cp;8713184131195.0;HYALORAL RZ GDES Y- GIGAN 
452;HYALORAL CACHORRO Y- GATO 50ml;8713184131225.0;HYALORAL CACHORRO Y- GATO 
463;DAFORTE 50ml;8470005749549.0;DAFORTE 
474;SEMINTRA 4MG/ML 30ML;8437011833365.0;SEMINTRA 
485;BRAVECTO 250mg 4,5-10kg 1tab;;BRAVECTO 
496;BRAVECTO 500mg 10-20kg 1tab;3660176021864.0;BRAVECTO 
507;BRAVECTO 1000mg 20-40kg 1tab;3411112161904.0;BRAVECTO 
518;BRAVECTO 1400mg 40-56kg 1tab;3660176021277.0;BRAVECTO 
529;CARPROX 20mg 100cp;8414042003493.0;CARPROX 
540;CONTINENZA 50ml;8436025836836.0;CONTINENZA 
551;CONTENEDOR PARA- MUESTRAS 60ml;8436025836768.0;CONTENEDOR PARA- MUESTRAS 
562;LIBEO 10mg 120cp;8436025848266.0;LIBEO 
573;MELOXIDYL GATO oral 5ml;8436025848297.0;MELOXIDYL GATO oral 
584;ZODON PERRO Y GATO ORAL- 25mg/ml 20ml;8436025848327.0;ZODON PERRO Y GATO ORAL- 
595;LACRISTAL NEO 10ml;5420036923008.0;LACRISTAL NEO 
606;VERSICAN PLUS DHPPIL4R-25dosis;3858888794781.0;VERSICAN PLUS DHPPIL
617;VERSICAN PLUS DHPPIL4-25dosis;3858888794774.0;VERSICAN PLUS DHPPIL
628;SIMPARICA PERROS 5-10kg 20mg 3cp;8431166700039.0;SIMPARICA PERROS 
639;SIMPARICA PERROS 10-20kg 40mg 3cp;3411112264377.0;SIMPARICA PERROS 
650;SIMPARICA PERROS 20-40kg 80mg 3cp;3411112263806.0;SIMPARICA PERROS 
661;FORTEKOR PLUS- 1,25/2,5mg 30tabs;3700454546532.0;FORTEKOR PLUS- 
672;PREDNICORTONE 20mg 30cp;9010854000560.0;PREDNICORTONE 
683;PREDNICORTONE 5mg 30cp;8429949193291.0;PREDNICORTONE 
694;LETIFEND LEISHMANIA 10ds;8436025862163.0;LETIFEND LEISHMANIA 
705;CARPRODYL QUADRI 120mg- x 120cp;7613203000130.0;CARPRODYL QUADRI 
716;CARPRODYL QUADRI 50mg x- 100cp;8422320326530.0;CARPRODYL QUADRI 
727;SOLIPHEN 60mg 60cp;8414042005053.0;SOLIPHEN 
738;BUTOMIDOR 10ml;52742026862.0;BUTOMIDOR 
749;TUSHEEL JARABE 150ml;3411112991334.0;TUSHEEL JARABE 
760;STRONGHOLD PLUS GATO 30/5mg 2,5-5kg 6pip;3411112991341.0;STRONGHOLD PLUS GATO 
771;PROLONGADOR REGULADOR- FLUJO 59cm 4,1ml;3411112991358.0;PROLONGADOR REGULADOR- FLUJO 
782;MERLIN 65cm 2un;8436025881713.0;MERLIN 
793;NACOTIL 125ml;8436025881881.0;NACOTIL 
804;CANINE GASTROINTESTINAL- BIOME 1,5kg;8436025881812.0;CANINE GASTROINTESTINAL- BIOME 
815;VECTRA 3D PERRO 4-10kg  12pip;;VECTRA 
826;VECTRA 3D PERRO 10-25kg  12pip;3411113032647.0;VECTRA 
837;VECTRA 3D PERRO 25-40kg  12pip;5600788469386.0;VECTRA 
848;SIMPARICA TRIO PERROS 5-10kg 3cp;8414042005831.0;SIMPARICA TRIO PERROS 
859;SIMPARICA TRIO PERROS 10-20kg 3cp;8414042005848.0;SIMPARICA TRIO PERROS 
870;SIMPARICA TRIO PERROS 20-40kg 3cp;;SIMPARICA TRIO PERROS 
881;ZELYS 1,25mg 8x12tabs;7613038944593.0;ZELYS 
892;OMNICARDIO PLUS 60cp;8436005141738.0;OMNICARDIO PLUS 
903;PLASMORAL DIGEST RZ PEQ- Y MED 30 sobres;8436025888286.0;PLASMORAL DIGEST RZ PEQ- Y MED 
914;PLASMORAL DIGEST RZ GDE-Y GIGAN 30sobres;8719874710039.0;PLASMORAL DIGEST RZ GDE-Y GIGAN 
925;EMPAPADORES MEDLINE- 60x90cm 25un;8719874710046.0;EMPAPADORES MEDLINE- 
936;SANICAT CLUMPING VAINILLA-MANDARINA 8L;52742039848.0;SANICAT CLUMPING VAINILLA-MANDARINA 
947;PROPLAN FELINE HYDRA-CARE HYDRAT 10x85gr;8414042004896.0;PROPLAN FELINE HYDRA-CARE HYDRAT 
958;DESINCLOR CLORHEXIDINA- ACUOSA 1% 50ml;8435458401369.0;DESINCLOR CLORHEXIDINA- ACUOSA 
969;LIBRELA 30mg iny 2x1ml;8414042006081.0;LIBRELA 
980;DEXACORTONE 0,5mg 10cp;8414042006050.0;DEXACORTONE 
991;DEXACORTONE 2mg 10cp;8436588990099.0;DEXACORTONE 
1002;CANINE I/D STEW POLLO-VEGETALES 12x354gr;8414042006067.0;CANINE I/D STEW POLLO-VEGETALES 
1013;PLASMORAL IMMUNITY 60cp;8414042006005.0;PLASMORAL IMMUNITY 
1024;PLAQTIV+ ADITIVO PARA- EL AGUA 500ml;8414042006012.0;PLAQTIV+ ADITIVO PARA- EL AGUA 
1035;HEPATOSIL PLUS RAZAS- PEQUEÑAS 60cp;8414042003837.0;HEPATOSIL PLUS RAZAS- PEQUEÑAS 
1046;HEPATOSIL PLUS RAZAS- MEDIANAS 30cp;3411112285501.0;HEPATOSIL PLUS RAZAS- MEDIANAS 
1057;VETILEA GASTRO GEL 50ml;;VETILEA GASTRO GEL 
1068;HEPATOSIL PLUS RAZAS- GRANDES 30cp;;HEPATOSIL PLUS RAZAS- GRANDES 
1079;VETGASTRIL PLUS 20ml;;VETGASTRIL PLUS 
1090;VETGASTRIL PLUS 50ml;;VETGASTRIL PLUS 
1101;IRC-VET GEL PERRO GATO 50ml;;IRC-VET GEL PERRO GATO 
1112;DERMIPRED 20mg 10x10cp;;DERMIPRED 
